Typ	Kommentar	Motståndare	Datum	Tid	Plats	Domare	Speltid	Publik	HIF	Inte HIF	Halvtid HIF	Halvtid inte HIF	Händelser motståndare	01 David Ousted	02 Simon Sandberg	03 Dennis Widgren	04 Richard Magyar	05 Mohanad Jeahze	06 Darijan Bojanic	07 Imad Khalili	08 Jeppe Andersen	11 Vladimir Rodić	13 Mads Fenger	15 Mayckel Lahdo	16 Gustav Ludwigson	17 Abbe Khalili	19 Abdul-Halik Hudu	20 David Accam	21 Astrit Selmani	23 Jón Gudni Fjóluson	24 Oliver Dovin	26 Ian Pettersson	29 Luoé Bayere Junior	31 Aimar Sher	32 Aziz Mohammed Ouattara	33 Akinkunmi Amoo	35 Axel Sjöberg
Svenska cupen		AFC Eskilstuna	20/2	13:00	Söderstadion	?		-	4	1			G(67,Holmström)	S-K	U(85a)-B4-Y(76)		I(74)	S-B1			S-M3-G(11)	I(56a)	S-B3-G(70)	I(74)	U(56a)-A1	S-M1-G(47)-Y(59)	U(74)-M2		U(85)-A2-G(17)	S-B2	B		I(85)		B	U(74)-A3	I(85a)
Svenska cupen		Oskarshamns AIK	28/2	15:00	Arena Oskarshamn				3	0			OG(6)	B	S-B4		S-B3	B		I(85a)	S-M3	U(85a)-A1-G(61)	U(82)-B1-Y(51)	I(66)		S-M1	S-M2		U(85)-A2	S-B2	S-K		I(85)		B	U(66)-A3-G(58)	I(82)-Y(90)
Svenska cupen		AIK	7/3	13:00	Söderstadion	Mohammed Al-Hakim			3	2			G(49,Ylätupa)-G(75,Larsson,str)	S-K	S-B4		S-B3-R(64)	S-B1			S-M1-Y(73)	I(55)-G(56)-Y(85)	S-M3	B	S-A1-G(82)	S-M2-Y(71)	B		S-A2	S-B2	B		B		B	U(55)-A3-G(18)	B
Svenska cupen	Förlängning	Trelleborgs FF	1/4	19:00	Söderstadion	Joakim Östling	120		3	2			G(88,Petrovic,str)-G(109,Petrovic)	B	I(77)			S-B1	U(46)-M2	I(76)	S-M3-G(9)-Y(38)	U(76a)-B4	S-B3	I(76a)	S-A1-G(92)		S-M1	I(64)-G(99)	U(76)-A2-Y(75)	U(64)-B2	S-K				I(46)	U(77)-A3-Y(63)	
Svenska cupen	DIF hemma	Djurgårdens IF	4/4	13:00	Söderstadion	Fredrik Klitte			1	0				S-K	B			S-B1	S-M1	B	S-M3-Y(57)	S-B4	S-M2-Y(25)	B	S-A1		B	I(70)	S-A2	S-B2	B				S-B3-G(17)	U(70)-A3	B
Allsvenskan		Malmö FF	10/4	15:00	Eleda Arena	Mohammed Al-Hakim			2	3	2	2	G(36,Christiansen)-G(40,Rieks)-G(90,Knudsen)	S-K	B	I(85)	S	U(85)	I(90+2)		U(90+2)	I(75)	S-Y(27)		S-G(20)	S-G(45+7)	B		S	S	B		B		S-Y(90+3)	U(75)	
Allsvenskan		Mjällby	17/4	15:00	Söderstadion	Adam Ladebäck			2	0	1	0		S-K	U(71a)-B4	I(71a)	B	S-B1-Y(37)	U(71)-M2		S-M3	I(77)	S-B3		U(77)-A1-G(75)	S-M1-Y(63)	B	I(77a)	S-A2	S-B2				I(71)		U(77a)-A3-G(45)	
Allsvenskan		AIK	25/4	17:30	Friends Arena	Glenn Nyberg			0	2	0	1	G(43,Stefanelli)-G(77,Bahoui)	S-K	U(81)-B4		B	S-B1	U(78a)-M2		U(78)-M3	I(78)	S-B3		S-A1	S-M1		B	S-A2-Y(53)	S-B2-Y(60)	B	B	B	I(78a)-Y(81)	I(81)	S-A3	
Allsvenskan		BK Häcken	01/5	17:30	Söderstadion	Kaspar Sjöberg		8	1	1	0	1	G(8,Jeremejeff)	S-K	U(82)-B4		I(82a)	S-B1	I(46)-P(55)		S-M3-Y(71)	B	U(82a)-B3		S-A1	S-M1-G(55)-Y(3)		I(67)	S-A2-Y(6)	S-B2		B	B	U(46)-M2	I(82)	U(67)-A3	
Allsvenskan		Sirius	08/5	15:00	Söderstadion																																
Allsvenskan		Varbergs BOIS	12/5	19:00	Varberg Energi Arena																																
Allsvenskan		Djurgårdens IF	16/5	15:00	Söderstadion																																
Allsvenskan		Kalmar FF	23/5	15:00	Guldfågeln Arena																																
Svenska Cupen		BK Häcken	30/5	tid ej fastställd	Söderstadion																																
