http --download https://www.svenskfotboll.se/https://www.svenskfotboll.se/matchfakta/hammarby-moron-bk-elitettan/4420411
Motståndare	Tid	Plats	HIF	Inte HIF	6 Felicia Saving	7 Hanna Lundkvist	8 Ellen Gibson	9 Dajan Hashemi-Ghermezi	10 Emma Jansson	11 Ellen Wangerheim	13 Klara Andrup	15 Elsa Karlsson	16 Emilia Larsson	17 Hanna Folkesson	18 Alice Carlsson (K)	19 Frida Thörnqvist	20 Jonna Andersson (MV)	21 Emma Westin	23 June Pedersen	24 Britta Elsert Gynning (MV)	27 Helén Eke	29 Ana Caroline Martins Rodrigues
AIK	2020-06-14 14:00	Hammarby IP 1	1	4	I1	IG	S	U	I	B	B	S	S	S	S	B	B	U	S	S	S	U1
IFK Kalmar	2020-06-18 18:30	Hammarby IP 1	2	1	I1	IG	S	U	I	B	B	S	S	S	S	B	B	U	S	S	S	U1
Lidköpings FK	2020-06-27 14:00	Framnäs IP A-plan	2	0	I1	IG	S	U	I	B	B	S	S	S	S	B	B	U	S	S	S	U1
Bollstanäs SK	2020-07-01 19:00	Bollstanäs IP 1	3	0	I1	IG	S	U	I	B	B	S	S	S	S	B	B	U	S	S	S	U1
Alingsås FC United	2020-07-04 15:00	Mjörnvallen, A-plan	1	0	I1	IG	S	U	I	B	B	S	S	S	S	B	B	U	S	S	S	U1
Sandvikens IF	2020-07-11 14:00	Hammarby IP 1	8	0	I1	IG	S	U	I	B	B	S	S	S	S	B	B	U	S	S	S	U1
Kvarnsvedens IK	2020-07-18 15:00	Ljungbergsplanen	0	0	I1	IG	S	U	I	B	B	S	S	S	S	B	B	U	S	S	S	U1
IF Brommapojkarna	2020-07-25 14:00	Hammarby IP 1	2	2	I1	IG	S	U	I	B	B	S	S	S	S	B	B	U	S	S	S	U1
Sandvikens IF	2020-08-01 14:00	Jernvallen VM-arenan	2	1	I1	IG	S	U	I	B	B	S	S	S	S	B	B	U	S	S	S	U1
IFK Kalmar	2020-08-08 15:00	Gröndals IP	2	1	I1	IG	S	U	I	B	B	S	S	S	S	B	B	U	S	S	S	U1
Bollstanäs SK	2020-08-14 18:30	Hammarby IP 1	4	1	I1	IG	S	U	I	B	B	S	S	S	S	B	B	U	S	S	S	U1
Mallbackens IF Sunne	2020-08-22 15:00	Strandvallen, Mallbacken	1	1	I1	IG	S	U	I	B	B	S	S	S	S	B	B	U	S	S	S	U1
Sunnanå SK	2020-08-26 20:45	Electrolux Home Arena	4	1	I1	IG	S	U	I	B	B	S	S	S	S	B	B	U	S	S	S	U1
Alingsås FC United	2020-08-30 15:00	Hammarby IP 1	1	3	I1	IG	S	U	I	B	B	S	S	S	S	B	B	U	S	S	S	U1
IF Brommapojkarna	2020-09-05 13:00	Grimsta IP 1	4	3	I1	IG	S	U	I	B	B	S	S	S	S	B	B	U	S	S	S	U1
Sunnanå SK	2020-09-12 14:00	Hammarby IP 1	5	1	I1	IG	S	U	I	B	B	S	S	S	S	B	B	U	S	S	S	U1
Mallbackens IF Sunne	2020-09-19 15:00	Hammarby IP 1	2	1	I1	IG	S	U	I	B	B	S	S	S	S	B	B	U	S	S	S	U1
AIK	2020-09-26 13:00	Skytteholms IP 1	2	1	I1	IG	S	U	I	B	B	S	S	S	S	B	B	U	S	S	S	U1
Kvarnsvedens IK	2020-10-03 14:00	Hammarby IP 1	4	1	I1	IG	S	U	I	B	B	S	S	S	S	B	B	U	S	S	S	U1
Lidköpings FK	2020-10-10 14:00	Hammarby IP 1	5	1	I1	IG	S	U	I	B	B	S	S	S	S	B	B	U	S	S	S	U1
Jitex Mölndal BK	2020-10-14 17:30	Hammarby IP 1	3	0	I1	IG	S	U	I	B	B	S	S	S	S	B	B	U	S	S	S	U1
Jitex Mölndal BK	2020-10-17 15:00	Åbyvallen 1 Konstgräs	5	0	I1	IG	S	U	I	B	B	S	S	S	S	B	B	U	S	S	S	U1
Morön BK	2020-10-25 14:00	Electrolux Home Arena	3	0	I1	IG	S	U	I	B	B	S	S	S	S	B	B	U	S	S	S	U1
Älvsjö AIK FF	2020-10-31 13:30	Älvsjö IP 1	3	0	I1	IG	S	U	I	B	B	S	S	S	S	B	B	U	S	S	S	U1
