Typ	Kommentar	Motståndare	Datum	Tid	Plats	Domare	Speltid	Publik	HIF	Inte HIF	Halvtid HIF	Halvtid inte HIF	Händelser motståndare	1 Anna Tamminen	2 Eva Nyström	4 Eden Lind	4 Mercy Söderling	5 Petronella Ekroth	6 Fanny Hjelm Rönnlund	7 Hanna Lundkvist	8 Ellen Gibson	9 Madelen Janogy	10 Emma Jansson	11 Ellen Wangerheim	13 Matilda Vinberg	14 Nina Jacobsson	15 Elsa Karlsson	16 Emilia Larsson	17 Hanna Folkesson	18 Alice Carlsson	19 Frida Thörnqvist	20 Jonna Andersson	21 Filippa Wallén (gästspelare)	22 Jonna Ståhl	23 June Pedersen	24 Britta Elsert Gynning	26 Ellika Holmberg	27 Helén Eke	29 Esme Faulds
Volkswagen Sthlm Challenge	Byten oklara	AIK	6/2	16:00	Söderstadion	?		-	2	0			-	S-M	S-B2	B		-	S-M3	S-B4	B	S-A3-G(13)	S-M2	-	B	S-A2	B	S-A1-G(80)	S-M1	S-B3	B	-		-	S-B1	B		B	
Volkswagen Sthlm Challenge		BP	14/2	16:00	Söderstadion			-	4	1			självmål(64), G(72, Norlin)	S-M	S-B3		I(60) (spelar med 04 Lind på ryggen)	.	U(60)-M3	S-B4	S-M2	U(78)-A3-G(17)-G(73)	I(45)	I(45)	U(45)-M1	U(60)-A2	S.B2	U(45)-A1-G(39str)	B	B	I(60)	B	I(60)	-	U(60)-B1	-	I(78)		
Träningsmatch		Älvsjö	20/2	14:00	Hammarby IP				7	0																													
Träningsmatch		Kristianstad	27/2	14:00	Hammarby IP				3	2			G(79, Jónsdóttir), G(90, Rantala (str))	S-M	S-B2	B	-	-	S-M1	S-B4	I(71)	U(85)-A3	S-M2-G(75)	U(71)-A2-G(40)	I(71)	-	I(61)	S	U(71)-G(52)	S	-	B	-	-	U(61)	-	I(85)	-	
Träningsmatch		Piteå	07/3	12:30	Gavlevallen																																		
Svenska Cupen		KIF Örebro	13/3	16:00	Behrn Arena			-	3	0				U(82)-M	S-B2	B	-	-	U(77)-M1	S-B4	I(77)	S-A3	S-M2	U(66)-A2	-	I(66)	S-B1	U(77)-A1-G(51,62,71)	S-M3	S-B3	I(77)	I(82)	-	-	-	-	B	-	
Svenska Cupen		Eskilstuna United	21/3	13:15	Tunavallen			-	0	1																													
Svenska Cupen		Sundsvalls DFF	27/3	16:00	Hammarby IP				7	1				S-M	S-B1				S-M2	S-B3	B	S-A3	S-M3	S.M1	B	S-A2	B	S-A1	S-M4	S-B2	B				B	B	B		
Träningsmatch		KIF Örebro	10/4	14:00	Hammarby IP				1	1																													
OBOS Damallsvenskan		BK Häcken	18/4	14:00	Hammarby IP				0	1																													
OBOS Damallsvenskan		Rosengård	24/4	14:00	Malmö IP				1	3																													
OBOS Damallsvenskan		KIF Örebro	01/5	14:00	Hammarby IP	Sandra Österberg		8	5	0	0	0		S-M	S-B2	B				S-B4	U(68)-M1	S-A3-P(55)-P(58)-G(77)-G(86)	S-M2-G(61)	I(68)	I(80)	U(80a)-A2	I(75)-P(77)	S-A1-G(58)	S-M3-G(55)	U(80)-B3					U(75)-B1	B		I(80a)	B
OBOS Damallsvenskan		AIK	08/5	13:00	Skytteholms IP																																		
OBOS Damallsvenskan		Eskilstuna United	17/5	19:00	Tunavallen																																		
OBOS Damallsvenskan		Djurgården	22/5	14;00	Hammarby IP																																		
OBOS Damallsvenskan		Kristianstad	30/5	14:00	Hammarby IP																																		
OBOS Damallsvenskan		Linköpings FC	04/6	19:00	Linköping Arena																																		
OBOS Damallsvenskan		Piteå	20/6	15:00	LF Arena																																		
OBOS Damallsvenskan		Växjö	27/6	17:00	Hammarby IP																																		
OBOS Damallsvenskan		Vittsjö	03/7	14:00	Hammarby IP																																		
OBOS Damallsvenskan		KIF Örebro	08/7	19:00	Behrn Arena																																		
OBOS Damallsvenskan		Eskilstuna United	20/8	19:00	Hammarby IP																																		
OBOS Damallsvenskan		BK Häcken	29/8	tid ej fastställd	Valhalla IP																																		
OBOS Damallsvenskan		Kristianstad	05/9	14:00	Kristianstads Arena																																		
OBOS Damallsvenskan		Rosengård	12/9	14:00	Hammarby IP																																		
OBOS Damallsvenskan		Djurgården	25/9	15:00	Olympiastadion																																		
OBOS Damallsvenskan		Piteå	03/10	15:00	Hammarby IP																																		
OBOS Damallsvenskan		AIK	10/10	14:00	Tele2 Arena																																		
OBOS Damallsvenskan		Vittsjö	16/10	14:00	Vittsjö IP																																		
OBOS Damallsvenskan		Linköpings FC	30/10	14:00	Hammarby IP																																		
OBOS Damallsvenskan		Växjö	06/11	14:00	Visma Arena																																		
