PLAYER	YEAR	TOURNAMENT	TEAM	MATCHES	GOALS	PENALTIES	ASSISTS	YELLOW	RED	STARTS	SUB0IN	SUB0OUT
Petronella Ekroth	2020	Elitettan 2020	Hammarby	6	0	0	0	0	0	4	2	1
Petronella Ekroth	2019	OBOS Damallsvenskan	Djurgårdens IF FF	12	1	0	0	0	0	9	3	1
Petronella Ekroth	2019	Svenska Cupen 2019/20 omg. 1-3	Djurgårdens IF FF	1	0	0	0	1	0	1	0	0
Petronella Ekroth	2018	Damallsvenskan	Djurgårdens IF FF	11	0	0	2	0	0	11	0	0
Petronella Ekroth	2017	Damallsvenskan	Djurgårdens IF FF	21	0	0	0	1	1	20	1	0
Petronella Ekroth	2017	Svenska Cupen omg. 1-3, damer	Djurgårdens IF FF	1	0	0	0	0	0	1	0	0
Petronella Ekroth	2017	Svenska Cupen, Grupp 4	Djurgårdens IF FF	3	1	0	0	0	0	2	1	1
Petronella Ekroth	2017	Svenska Cupen, Slutspel	Djurgårdens IF FF	1	0	0	0	0	0	0	1	0
Petronella Ekroth	2016	Damallsvenskan	Djurgårdens IF FF	16	0	0	0	0	0	15	1	1
Petronella Ekroth	2016	Svenska Cupen, damer	Djurgårdens IF FF	5	2	0	0	0	0	5	0	0
Petronella Ekroth	2015	Damallsvenskan	Hammarby IF DFF	20	0	0	0	2	0	20	0	1
Petronella Ekroth	2015	Svenska Cupen, damer	Hammarby IF DFF	2	0	0	0	0	0	1	1	0
Petronella Ekroth	2014	Elitettan	Hammarby IF DFF	24	4	1	0	2	0	22	2	3
Petronella Ekroth	2014	Svenska Cupen, damer	Hammarby IF DFF	3	2	0	0	1	0	3	0	2
Petronella Ekroth	2013	Elitettan	Hammarby IF DFF	8	1	0	0	0	0	6	2	3
Petronella Ekroth	2013	Svenska Cupen, damer	Hammarby IF DFF	1	0	0	0	0	0	1	0	0
Petronella Ekroth	2011	Damallsvenskan	Jitex BK	7	0	0	0	1	0	6	1	0
Petronella Ekroth	2011	Damallsvenskan	Tyresö FF	1	0	0	0	0	0	0	1	0
Petronella Ekroth	2011	Damallsvenskan	Jitex BK	6	0	0	0	1	0	6	0	0
Petronella Ekroth	2011	Svenska Cupen, damer	Tyresö FF	2	0	0	0	1	0	2	0	0
Petronella Ekroth	2010	Damallsvenskan	AIK	16	0	0	0	2	0	16	0	4
Petronella Ekroth	2011	Damallsvenskan	Tyresö FF	9	0	0	0	0	0	9	0	3
Petronella Ekroth	2011	Damallsvenskan	AIK	7	0	0	0	2	0	7	0	1
Petronella Ekroth	2010	Svenska Cupen, damer	Tyresö FF	2	0	0	0	0	0	2	0	2
Petronella Ekroth	2009	Damallsvenskan	Linköpings FC	3	0	0	0	0	0	0	3	0
Petronella Ekroth	2009	Svenska Cupen, damer	Linköpings FC	2	2	0	0	0	0	2	0	0
Petronella Ekroth	2008	Damallsvenskan	Linköpings FC	2	0	0	0	0	0	1	1	0
Hanna Lundkvist	2020	Elitettan 2020	Hammarby	26	2	0	0	3	0	19	7	9
Hanna Lundkvist	2019	Elitettan	Hammarby IF FF	26	4	0	0	1	0	25	1	6
Hanna Lundkvist	2019	Svenska Cupen 2019/20 omg. 1-3	Hammarby IF FF	1	0	0	0	0	0	0	1	0
Hanna Lundkvist	2018	Elitettan	AIK	1	1	0	0	0	0	0	1	0
Hanna Lundkvist	2018	Svenska Cupen omg. 1-3, damer	AIK	1	0	0	0	0	0	0	1	0
Hanna Lundkvist	2018	Svenska Cupen, Grupp 3	Hammarby IF FF	3	0	0	0	0	0	3	0	2
Ellen Gibson	2020	Elitettan 2020	Hammarby	23	1	0	0	1	0	20	3	4
Ellen Gibson	2020	Svenska Cupen 2020/21 omg. 1-3	Hammarby	2	0	0	0	0	0	0	2	0
Ellen Gibson	2019	Elitettan	Hammarby IF FF	25	0	0	0	2	0	25	0	0
Ellen Gibson	2018	Div 1 Södra Svealand, damer	Södersnäckornas BK	8	3	0	0	3	0	7	1	0
Ellen Gibson	2018	Damallsvenskan	Hammarby IF FF	8	0	0	0	2	0	3	5	2
Ellen Gibson	2018	RFL Dam Norra Svealand	Lindahl FF	6	11	0	0	0	0	0	0	0
Ellen Gibson	2018	Slutspel	Lindahl FF	2	3	0	0	0	0	0	0	0
Ellen Gibson	2018	Svenska Cupen omg. 1-3, damer	Hammarby IF FF	1	0	0	0	1	0	1	0	0
Ellen Gibson	2018	Svenska Cupen, Grupp 3	Hammarby IF FF	3	0	0	0	0	0	3	0	0
Ellen Gibson	2017	Damallsvenskan	Hammarby IF FF	12	0	0	1	1	0	7	5	3
Ellen Gibson	2017	Svenska Cupen omg. 1-3, damer	Hammarby IF FF	1	0	0	0	0	0	1	0	1
